都道府県,納豆消費量,平均気温,東西ラベル
北海道,3772 ,8.9,1
岩手県,5406 ,10.2,1
青森県,4789 ,10.4,1
山形県,5308 ,11.7,1
秋田県,4604 ,11.7,1
長野県,4458 ,11.9,1
宮城県,4884 ,12.4,1
福島県,5606 ,13,1
茨城県,5496 ,13.6,1
栃木県,4665 ,13.8,1
新潟県,4233 ,13.9,1
富山県,4019 ,14.1,1
福井県,3348 ,14.5,1
群馬県,5348 ,14.6,1
石川県,3577 ,14.6,1
山梨県,4396 ,14.7,1
滋賀県,2813 ,14.7,0
鳥取県,2808 ,14.9,0
島根県,2811 ,14.9,0
奈良県,2587 ,14.9,0
埼玉県,4291 ,15,1
千葉県,4226 ,15.4,1
愛知県,3359 ,15.8,1
岐阜県,3512 ,15.8,1
神奈川県,3856 ,15.8,1
京都府,2849 ,15.9,0
三重県,3053 ,15.9,0
岡山県,2455 ,16.2,0
広島県,2945 ,16.3,0
香川県,2446 ,16.3,0
東京都,3808 ,16.3,1
大分県,2566 ,16.4,0
愛媛県,2657 ,16.5,0
佐賀県,2735 ,16.5,0
静岡県,3597 ,16.5,1
徳島県,2152 ,16.6,0
山口県,2777 ,16.7,0
兵庫県,2485 ,16.7,0
和歌山県,1815 ,16.7,0
熊本県,2883 ,16.9,0
大阪府,2231 ,16.9,0
高知県,2254 ,17,0
福岡県,3296 ,17,0
長崎県,2941 ,17.2,0
宮崎県,3061 ,17.4,0
鹿児島県,3454 ,18.6,0
沖縄県,2573 ,23.1,0
なぞの地点1,2000 ,10,0
なぞの地点2,4150 ,20,1
なぞの地点3,4300 ,22,0
