en,ja
apple,林檎
aquarium_fish,水族館の魚
baby,赤ちゃん
bear,くま
beaver,ビーバー
bed,ベッド
bee,蜂
beetle,甲虫
bicycle,自転車
bottle,ボトル
bowl,ボウル
boy,男の子
bridge,ブリッジ
bus,バス
butterfly,バタフライ
camel,キャメル
can,缶
castle,城
caterpillar,いも虫
cattle,牛
chair,椅子
chimpanzee,チンパンジー
clock,時計
cloud,雲
cockroach,ゴキブリ
couch,ソファー
crab,カニ
crocodile,クロコダイル
cup,カップ
dinosaur,恐竜
dolphin,イルカ
elephant,象
flatfish,ヒラメ
forest,森林
fox,狐
girl,女の子
hamster,ハムスター
house,家
kangaroo,カンガルー
keyboard,キーボード
lamp,ランプ
lawn_mower,芝刈り機
leopard,ヒョウ
lion,ライオン
lizard,トカゲ
lobster,ロブスター
man,男性
maple_tree,カエデ
motorcycle,オートバイ
mountain,山
mouse,マウス
mushroom,キノコ
oak_tree,樫の木
orange,オレンジ
orchid,蘭
otter,カワウソ
palm_tree,ヤシの木
pear,梨
pickup_truck,ピックアップトラック
pine_tree,松
plain,平原
plate,プレート
poppy,ポピー
porcupine,ヤマアラシ
possum,フクロネズミ
rabbit,ウサギ
raccoon,ラクーン
ray,エイ
road,道路
rocket,ロケット
rose,ローズ
sea,海
seal,シール
shark,サメ
shrew,トガリネズミ
skunk,スカンク
skyscraper,超高層ビル
snail,カタツムリ
snake,ヘビ
spider,クモ
squirrel,リス
streetcar,路面電車
sunflower,ヒマワリ
sweet_pepper,ピーマン
table,テーブル
tank,タンク
telephone,電話
television,テレビ
tiger,虎
tractor,トラクター
train,列車
trout,マス
tulip,チューリップ
turtle,カメ
wardrobe,ワードローブ
whale,クジラ
willow_tree,柳
wolf,オオカミ
woman,女性
worm,ミミズ
